ZL_DIVN_NBR,LOC_NBR,RDS_SKU_NBR,ZL_MSTSTYL_NBR,NSL_QTY
71,5040,984,166,0
71,5031,1651,143,0
71,5040,1651,143,0
71,5429,1651,143,0
71,5031,1677,143,0
71,5040,1677,143,0
71,5429,1677,143,0
71,5040,1685,143,0
71,5429,1685,143,0
71,5031,1693,133,0
71,5038,1693,133,0
71,5040,1693,133,0
71,5043,1693,133,0
71,5429,1693,133,0
71,5031,1701,133,0
71,5038,1701,133,0
71,5040,1701,133,0
71,5043,1701,133,0
71,5429,1701,133,0
71,5031,1719,133,0
71,5040,1719,133,0
71,5429,1719,133,0
71,5031,1727,133,0
71,5040,1727,133,0
71,5429,1727,133,0
71,5031,1800,990,0
71,5038,1800,990,0
71,5040,1800,990,0
71,5043,1800,990,0
71,5429,1800,990,0
71,5031,1818,990,0
71,5038,1818,990,0
71,5040,1818,990,0
71,5429,1818,990,0
71,5031,1834,132,0
71,5040,1842,990,0
71,5043,1842,990,0
71,5429,1859,132,0
71,5040,1867,990,0
71,5031,1875,990,0
71,5040,1875,990,0
71,5429,1875,990,0
71,5031,1883,990,0
71,5038,1883,990,0
71,5040,1883,990,0
71,5043,1883,990,0
71,5429,1883,990,0
71,5031,1909,132,0
71,5040,1909,132,0
71,5429,1909,132,0
71,5040,1925,132,0
71,5031,1933,990,0
71,5038,1933,990,0
71,5040,1933,990,0
71,5043,1933,990,0
71,5429,1933,990,0
71,5031,1941,990,0
71,5040,1941,990,0
71,5429,1941,990,0
71,5031,1974,132,1
71,5035,1974,132,0
71,5038,1974,132,1
71,5040,1974,132,1
71,5043,1974,132,0
71,5429,1974,132,1
71,5031,1982,990,0
71,5040,1982,990,0
71,5038,2006,990,0
71,5031,2014,990,0
71,5038,2014,990,0
71,5040,2014,990,0
71,5031,2022,990,0
71,5038,2022,990,0
71,5040,2022,990,0
71,5031,2030,990,0
71,5038,2030,990,0
71,5040,2030,990,0
71,5043,2030,990,0
71,5429,2030,990,0
71,5031,2055,990,0
71,5038,2055,990,0
71,5040,2055,990,0
71,5040,2063,132,0
71,5031,2477,58108,0
71,5038,2477,58108,0
71,5040,2477,58108,0
71,5043,2477,58108,0
71,5429,2477,58108,0
71,5031,2493,58108,0
71,5038,2493,58108,0
71,5040,2493,58108,0
71,5043,2493,58108,0
71,5429,2493,58108,0
71,5043,2519,58108,0
71,5031,2592,58108,0
71,5038,2592,58108,0
71,5040,2592,58108,0
71,5043,2592,58108,0
71,5429,2592,58108,0
71,5031,2626,58108,0
71,5038,2626,58108,0
71,5040,2626,58108,0
71,5043,2626,58108,0
71,5429,2626,58108,0
71,5031,2634,58108,0
71,5038,2634,58108,0
71,5040,2634,58108,0
71,5429,2634,58108,0
71,5031,2642,58108,0
71,5038,2642,58108,0
71,5040,2642,58108,0
71,5043,2642,58108,0
71,5429,2642,58108,0
71,5031,5686,854,0
71,5040,5686,854,0
71,5429,5686,854,0
71,5031,5702,854,0
71,5040,5702,854,0
71,5429,5702,854,0
71,5031,5736,854,0
71,5040,5736,854,0
71,5429,5736,854,0
71,5031,5876,854,0
71,5040,5876,854,0
71,5429,5876,854,0
71,5031,5884,854,0
71,5040,5884,854,0
71,5429,5884,854,0
71,5031,5892,854,0
71,5040,5892,854,0
71,5429,5892,854,0
71,5038,5959,854,0
71,5038,5975,854,0
71,5038,5983,854,0
71,5038,5991,854,0
71,5038,6007,854,0
71,5038,6015,854,0
71,5031,8482,853,0
71,5038,8482,853,0
71,5040,8482,853,0
71,5031,8508,853,0
71,5038,8508,853,0
71,5040,8508,853,0
71,5031,8524,853,0
71,5038,8524,853,0
71,5040,8524,853,0
71,5031,8532,853,0
71,5038,8532,853,0
71,5040,8532,853,0
71,5031,8649,853,0
71,5038,8649,853,0
71,5040,8649,853,0
71,5031,8656,853,0
71,5038,8656,853,0
71,5040,8656,853,0
71,5031,9332,855,0
71,5038,9332,855,0
71,5040,9332,855,0
71,5043,9332,855,0
71,5031,9340,855,0
71,5038,9340,855,0
71,5040,9340,855,0
71,5043,9340,855,0
71,5031,9399,855,0
71,5038,9399,855,0
71,5040,9399,855,0
71,5043,9399,855,0
71,5038,9704,96,0
71,5031,10264,514,0
71,5038,10264,514,0
71,5040,10264,514,0
71,5043,10264,514,0
71,5429,10264,514,0
71,5040,11056,58033,0
71,5040,11080,58033,0
71,5040,11130,58033,0
71,5040,11510,58033,0
71,5040,11528,58033,0
71,5031,11940,58034,0
71,5038,11940,58034,0
71,5040,11940,58034,0
71,5429,11940,58034,0
71,5031,11957,58034,0
71,5038,11957,58034,0
71,5040,11957,58034,0
71,5429,11957,58034,0
71,5038,12005,58034,0
71,5429,12005,58034,0
71,5031,12013,58034,0
71,5038,12013,58034,0
71,5040,12013,58034,0
71,5031,12146,58034,0
71,5038,12146,58034,0
71,5040,12146,58034,0
71,5429,12146,58034,0
71,5031,12153,58034,0
71,5038,12153,58034,0
71,5040,12153,58034,0
71,5429,12153,58034,0
71,5031,12161,58034,0
71,5038,12161,58034,0
71,5040,12161,58034,0
71,5429,12161,58034,0
71,5031,12187,58034,0
71,5038,12187,58034,0
71,5040,12187,58034,0
71,5429,12187,58034,0
71,5040,12831,66086,0
71,5031,12849,77719,0
71,5035,12849,77719,1
71,5038,12849,77719,0
71,5040,12849,77719,0
71,5043,12849,77719,0
71,5429,12849,77719,0
71,5031,12856,70024,0
71,5038,12856,70024,0
71,5040,12856,70024,0
71,5043,12856,70024,0
71,5429,12856,70024,0
71,5040,12872,66086,0
71,5031,12880,70024,0
71,5038,12880,70024,0
71,5040,12880,70024,0
71,5043,12880,70024,0
71,5429,12880,70024,0
71,5031,12906,70024,0
71,5038,12906,70024,0
71,5040,12906,70024,0
71,5043,12906,70024,0
71,5429,12906,70024,0
71,5031,12914,70024,0
71,5038,12914,70024,0
71,5040,12914,70024,0
71,5043,12914,70024,0
71,5429,12914,70024,0
71,5031,12922,70024,0
71,5038,12922,70024,0
71,5040,12922,70024,0
71,5043,12922,70024,0
71,5429,12922,70024,0
71,5031,13250,77724,0
71,5038,13250,77724,0
71,5040,13250,77724,0
71,5429,13250,77724,0
71,5031,13268,77724,0
71,5038,13268,77724,0
71,5040,13268,77724,0
71,5429,13268,77724,0
71,5031,13276,77724,0
71,5038,13276,77724,0
71,5040,13276,77724,0
71,5429,13276,77724,0
71,5031,13284,77724,0
71,5038,13284,77724,0
71,5040,13284,77724,0
71,5429,13284,77724,0
71,5031,13359,77724,0
71,5040,13359,77724,0
71,5429,13359,77724,0
71,5031,13367,77724,0
71,5040,13367,77724,0
71,5429,13367,77724,0
71,5031,15420,58108,0
71,5038,15420,58108,0
71,5040,15420,58108,0
71,5043,15420,58108,0
71,5429,15420,58108,0
71,5040,18283,351,0
71,5429,18291,351,0
71,5031,18341,352,0
71,5031,19364,888,0
71,5038,19364,888,0
71,5040,19364,888,0
71,5429,19364,888,0
71,5031,19372,888,0
71,5040,19372,888,0
71,5429,19372,888,0
71,5031,19380,888,0
71,5038,19380,888,0
71,5040,19380,888,0
71,5429,19380,888,0
71,5031,19406,888,0
71,5038,19406,888,0
71,5040,19406,888,0
71,5429,19406,888,0
71,5031,20081,70188,4
71,5035,20081,70188,0
71,5038,20081,70188,7
71,5040,20081,70188,4
71,5043,20081,70188,4
71,5429,20081,70188,4
71,5031,20099,70188,2
71,5035,20099,70188,0
71,5038,20099,70188,4
71,5040,20099,70188,2
71,5043,20099,70188,2
71,5429,20099,70188,2
71,5031,20107,70188,0
71,5035,20107,70188,0
71,5038,20107,70188,1
71,5040,20107,70188,0
71,5043,20107,70188,1
71,5429,20107,70188,1
71,5031,20214,70188,0
71,5038,20214,70188,0
71,5040,20214,70188,0
71,5043,20214,70188,0
71,5429,20214,70188,1
71,5031,20263,70188,1
71,5038,20263,70188,1
71,5040,20263,70188,1
71,5043,20263,70188,0
71,5429,20263,70188,1
71,5031,20271,70188,1
71,5038,20271,70188,1
