ZL_DIVN_NBR,RDS_SKU_NBR,LOC_NBR,NSL_QTY
71,1974,5031,1
71,2286078,5120,1
71,2286078,5431,1
71,2286078,5430,1
71,2286078,5225,1
71,2286086,5120,1
71,2286086,5431,1
71,2286086,5430,1
71,2286086,5225,1
71,2286094,5120,1
71,2286094,5431,1
71,2286094,5430,1
71,2286094,5225,1
71,2286201,5047,1
71,2286201,5433,1
71,2286201,5422,1
71,2286201,5419,1
71,2286201,5242,1
71,2286201,5228,1
71,2286201,5226,1
71,2286201,5219,1
71,2286201,5211,1
71,2286201,5210,1
71,2286201,5206,1
71,2286201,5205,1
71,2286201,5203,1
71,2286201,5198,1
71,2286201,5137,1
71,2286219,5137,1
71,2286219,5433,1
71,2286219,5422,1
71,2286219,5419,1
71,2286219,5242,1
71,2286219,5228,1
71,2286219,5226,1
71,2286219,5219,1
71,2286219,5211,1
71,2286219,5210,1
71,2286219,5206,1
71,2286219,5205,1
71,2286219,5203,1
71,2286219,5198,1
71,2286219,5047,1
71,2286235,5047,1
71,2286235,5445,1
71,2286235,5433,1
71,2286235,5431,1
71,2286235,5430,1
71,2286235,5429,1
71,2286235,5422,1
71,2286235,5419,1
71,2286235,5242,1
71,2286235,5236,1
71,2286235,5228,1
71,2286235,5226,1
71,2286235,5219,1
71,2286235,5211,1
71,2286235,5210,1
71,2286235,5206,1
71,2286235,5205,1
71,2286235,5203,1
71,2286235,5198,1
71,2286235,5195,1
71,2286235,5137,1
71,2286268,5236,1
71,2286268,5445,1
71,2286268,5431,1
71,2286268,5430,1
71,2286268,5429,1
71,2286268,5195,1
71,2286284,5445,1
71,2286284,5431,1
71,2286284,5430,1
71,2286284,5429,1
71,2286284,5236,1
71,2286284,5195,1
71,2286292,5035,1
71,2286292,5255,1
71,2286292,5237,1
71,2286292,5235,1
71,2286292,5225,1
71,2286292,5223,1
71,2286292,5213,1
71,2286292,5187,1
71,2286292,5120,1
71,2286292,5115,1
71,2286292,5074,1
71,2286292,5073,1
71,2286292,5066,1
71,2286292,5051,1
71,2286292,5031,1
71,2286300,5031,1
71,2286300,5445,1
71,2286300,5433,1
71,2286300,5431,1
71,2286300,5430,1
71,2286300,5429,1
71,2286300,5422,1
71,2286300,5419,1
71,2286300,5255,1
71,2286300,5242,1
71,2286300,5237,1
71,2286300,5236,1
71,2286300,5235,1
71,2286300,5228,1
71,2286300,5226,1
71,2286300,5225,1
71,2286300,5223,1
71,2286300,5219,1
71,2286300,5213,1
71,2286300,5211,1
71,2286300,5210,1
71,2286300,5206,1
71,2286300,5205,1
71,2286300,5203,1
71,2286300,5198,1
71,2286300,5195,1
71,2286300,5187,1
71,2286300,5137,1
71,2286300,5120,1
71,2286300,5115,1
71,2286300,5074,1
71,2286300,5073,1
71,2286300,5066,1
71,2286300,5051,1
71,2286300,5047,1
71,2286300,5035,1
71,2286318,5115,1
71,2286318,5431,1
71,2286318,5430,1
71,2286318,5255,1
71,2286318,5235,1
71,2286318,5225,1
71,2286318,5213,1
71,2286318,5120,1
71,2286326,5031,1
71,2286326,5445,1
71,2286326,5433,1
71,2286326,5431,1
71,2286326,5430,1
71,2286326,5429,1
71,2286326,5422,1
71,2286326,5419,1
71,2286326,5255,1
71,2286326,5242,1
71,2286326,5237,1
71,2286326,5236,1
71,2286326,5235,1
71,2286326,5228,1
